GRID_ID,P_Val,P_M,P_W,P_20_VAL,P_20_M,P_20_W,P_30_VAL,P_30_M,P_30_W,P_40_VAL,P_40_M,P_40_W,P_50_VAL,P_50_M,P_50_W,P_60_VAL,P_60_M,P_60_W,D_CSV,D_COFFEE,D_KFOOD,D_PHARM,D_SALON,SIDO_CD,SIDO_NM
다사406465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사406466,63,33,30,10,0,0,0,0,0,10,0,0,8,0,0,11,6,0,0,0,0,0,0,11,서울특별시
다사406467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사406468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사406469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사406470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사406471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사406472,106,53,53,15,11,0,15,0,10,13,7,6,19,6,13,25,15,10,0,0,0,0,0,11,서울특별시
다사406473,264,145,119,31,15,16,24,12,12,35,21,14,63,35,28,48,30,18,1,1,1,0,0,11,서울특별시
다사406474,213,116,97,21,12,9,43,22,21,32,18,14,37,16,21,33,14,19,0,0,0,0,0,11,서울특별시
다사406475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사406476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사406477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사406478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사406479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사406480,45,22,23,0,0,0,8,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0,0,11,서울특별시
다사406481,380,189,191,46,21,25,58,30,28,51,26,25,70,38,32,61,28,33,0,0,0,0,0,11,서울특별시
다사406482,267,144,123,27,11,16,29,17,12,49,26,23,35,17,18,58,32,26,0,0,0,0,0,11,서울특별시
다사406483,383,213,170,45,23,22,44,24,20,36,24,12,89,51,38,83,52,31,1,0,0,0,0,11,서울특별시
